treatment,anger,fear,sympathy,pity,disgust,compassion,articlesymp,articlerace,mikewhite,mikeblack,mikenorace,perwhiteopioid,perblackopioid,perotheropioid,perwhitedrug,perblackdrug,perotherdrug,whiteid,rr,workstereotypediff,whitesymp,blacksymp,noracesymp,whiteunsymp,blackunsymp,noraceunsymp,control
whiteunsymp,0.4,1,1,0.8,0.3,0.6,0.5,white,1,0,0,0.6,0.3,0.117647059,60,30,10,1,1,0.266666667,0,0,0,1,0,0,0
noraceunsymp,0.1,0.5,0.1,0.5,0.2,0.2,0.75,white,1,0,0,0.6,0.4,0,60,40,0,0.75,0.5,0,0,0,0,0,0,1,0
noracesymp,0.3,0.8,0.5,1,0.7,0,0.5,not mentioned,0,0,1,0.34,0.33,0.388235294,40,25,35,0.625,0.25,-0.1,0,0,1,0,0,0,0
noraceunsymp,0.8,1,0.9,0.9,0.9,0.9,1,white,1,0,0,0.5,0.25,0.294117647,50,25,25,1,0.5,NA,0,0,0,0,0,1,0
control,0.9,0.2,0.1,0.1,0.3,0.8,NA,NA,0,0,0,0.5,0.45,0.058823529,64,12,24,0.875,1,0.1,0,0,0,0,0,0,1
whitesymp,0.5,0.4,0.5,0.4,0.3,0.6,1,white,1,0,0,0.5,0.25,0.294117647,50,25,25,0.25,0.375,0.1,1,0,0,0,0,0,0
blackunsymp,1,1,1,1,1,1,0.75,white,1,0,0,0.5,0.5,0,50,50,0,1,0.5,0.6,0,0,0,0,1,0,0
control,0.9,0.3,0.3,0.4,0.6,0.9,NA,NA,0,0,0,0.5,0.4,0.117647059,80,10,10,0.5,0.6875,0.833333333,0,0,0,0,0,0,1
blacksymp,0.5,0.5,0.5,0.5,0.5,0.5,0.25,black,0,1,0,0.75,0.1,0.176470588,50,15,35,0,0.5,0.1,0,1,0,0,0,0,0
noracesymp,0.4,0.7,0.9,0.7,0.5,0.9,0.75,not mentioned,0,0,1,0.64,0.12,0.282352941,64,12,24,0.375,0.625,0.266666667,0,0,1,0,0,0,0
blacksymp,0,0.7,0.4,0.5,0.6,0,0.75,black,0,1,0,0.64,0.25,0.129411765,64,12,24,0.375,0.6875,0.3,0,1,0,0,0,0,0
control,0,0,0,0,0,0,NA,NA,0,0,0,0.63,0.31,0.070588235,63,21,16,0.75,0.875,0.1,0,0,0,0,0,0,1
noraceunsymp,0.8,0.8,0.8,0.4,0.4,0.7,0.5,not sure,0,0,1,0.35,0.4,0.294117647,40,30,30,0.875,0.5,0.3,0,0,0,0,0,1,0
noracesymp,0,0,1,0,0,0.1,0,white,1,0,0,0.5,0.5,0,25,75,0,0.5,0.5,NA,0,0,1,0,0,0,0
whitesymp,0.9,1,1,0.9,0.8,0.9,0.75,white,1,0,0,0.4,0.5,0.117647059,35,45,20,0.5,0.5,0,1,0,0,0,0,0,0
blackunsymp,0.8,0,1,0.4,0,0.8,0.25,black,0,1,0,0.64,0.12,0.282352941,64,12,24,0,0.625,0.166666667,0,0,0,0,1,0,0
whiteunsymp,0,0,0,0,1,1,0,white,1,0,0,0.49,0.49,0.023529412,49,49,2,0.5,1,0.3,0,0,0,1,0,0,0
control,0.3,0.7,0.6,1,0.3,0.3,NA,NA,0,0,0,0.65,0.35,0,65,35,0,0.125,1,0.133333333,0,0,0,0,0,0,1
whitesymp,1,0,0,0,1,1,0.75,white,1,0,0,0.5,0.3,0.235294118,40,40,20,0.875,0.6875,0.433333333,1,0,0,0,0,0,0
noracesymp,0.1,0.3,0.5,0.3,0.1,0.1,0.75,not mentioned,0,0,1,0.1,0.9,0,20,40,40,0,0,0,0,0,1,0,0,0,0
blackunsymp,0.8,0.8,0.6,0.6,0.7,0.7,0.75,black,0,1,0,0.25,0.6,0.176470588,25,65,10,0.25,0.4375,0.466666667,0,0,0,0,1,0,0
noraceunsymp,0.5,1,1,0.5,0.5,0.5,1,not mentioned,0,0,1,0.75,0.25,0,50,50,0,0.25,0.875,NA,0,0,0,0,0,1,0
whitesymp,0.8,0.8,1,0.7,0.7,0.7,1,white,1,0,0,0.25,0.25,0.588235294,100,0,0,1,0.4375,NA,1,0,0,0,0,0,0
blackunsymp,1,0,0,0.7,0.6,1,0,black,0,1,0,0.5,0.5,0,35,35,30,0.875,0.5625,0.133333333,0,0,0,0,1,0,0
whiteunsymp,0,0.7,0,0.5,0,0,0.5,white,1,0,0,0.75,0.1,0.176470588,40,40,20,0,0.25,0.1,0,0,0,1,0,0,0
blacksymp,0,1,1,1,0.7,0,1,black,0,1,0,0.2,0.6,0.235294118,50,30,20,0,0.125,0,0,1,0,0,0,0,0
noracesymp,0.5,0.5,0.5,0.5,0.5,0.5,1,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.75,0.625,0,0,0,1,0,0,0,0
control,0,0.5,0.5,0.7,0.5,0.3,NA,NA,0,0,0,0.8,0.1,0.117647059,65,25,10,0.5,0.75,0.666666667,0,0,0,0,0,0,1
noraceunsymp,0.7,0.8,0.6,0.6,0.7,0.6,0.75,white,1,0,0,0.5,0.4,0.117647059,50,40,10,0.5,0.5,0.133333333,0,0,0,0,0,1,0
control,0.8,0.3,0.3,0.2,0.8,0.9,NA,NA,0,0,0,0.8,0.1,0.117647059,80,10,10,0,0.625,0.1,0,0,0,0,0,0,1
whitesymp,0.5,0.6,0.6,0.6,0.5,0.4,0.75,white,1,0,0,0.3,0.4,0.352941176,30,50,20,1,0.125,0.166666667,1,0,0,0,0,0,0
noraceunsymp,0.7,0.6,0.6,0.7,0.6,0.9,0.75,white,1,0,0,0.1,0.75,0.176470588,15,75,10,0.5,0.5,NA,0,0,0,0,0,1,0
noracesymp,0.6,0.6,0.6,0.6,0.6,0.5,0.75,black,0,1,0,0.5,0.5,0,33,33,34,0,0.5,0.1,0,0,1,0,0,0,0
blacksymp,0.6,0.9,0.7,0.6,0.7,0.7,0.75,black,0,1,0,0.12,0.24,0.752941176,53,7,40,0.75,0.4375,0.166666667,0,1,0,0,0,0,0
control,0.3,0.7,0.8,0.8,0.6,0.3,NA,NA,0,0,0,0.7,0.25,0.058823529,65,20,15,0,0.625,0.033333333,0,0,0,0,0,0,1
noraceunsymp,0.9,0.8,0.8,0.8,0.8,0.8,0.5,not mentioned,0,0,1,0.15,0.4,0.529411765,45,35,20,0.5,0.875,0.466666667,0,0,0,0,0,1,0
noracesymp,0.6,0.6,0.4,0.4,0.4,0.7,0.5,white,1,0,0,0.25,0.75,0,50,25,25,0.5,0.625,0.3,0,0,1,0,0,0,0
whiteunsymp,0.8,0.7,0.4,0.7,0.6,0.6,0.75,white,1,0,0,0.6,0.35,0.058823529,55,20,25,0.125,0.3125,0.033333333,0,0,0,1,0,0,0
whitesymp,0.2,0.2,1,0.4,0,0.5,0.25,white,1,0,0,0.7,0.2,0.117647059,60,20,20,0.625,0.0625,0.033333333,1,0,0,0,0,0,0
blackunsymp,0.8,0.3,0.4,0.7,0.9,0.9,0.75,black,0,1,0,0.33,0.33,0.4,33,33,34,0.875,0.5625,0.1,0,0,0,0,1,0,0
blacksymp,0.5,0.8,0.9,0.6,0.8,0.3,1,black,0,1,0,0.5,0.25,0.294117647,50,25,25,0.125,0,-0.066666667,0,1,0,0,0,0,0
whiteunsymp,0.8,0.1,0.1,0.1,0.4,0.2,0.5,white,1,0,0,0.64,0.24,0.141176471,64,12,24,0.375,0.5625,0.066666667,0,0,0,1,0,0,0
whiteunsymp,0.4,0.5,0.5,0.4,0.6,0.4,0.5,white,1,0,0,0.45,0.3,0.294117647,40,40,20,0.375,0.6875,0.466666667,0,0,0,1,0,0,0
noraceunsymp,0.3,0.8,0.8,0.8,0.3,0.3,0.25,not mentioned,0,0,1,0.75,0.1,0.176470588,75,10,15,0.125,0,0.033333333,0,0,0,0,0,1,0
control,0.5,0.8,0.7,0.6,0.5,0.5,NA,NA,0,0,0,1,0,0,30,30,40,0.625,0.625,0.166666667,0,0,0,0,0,0,1
noracesymp,0.1,0.2,0.2,0.2,0,0,0.5,white,1,0,0,0.5,0.5,0,20,10,70,1,0.625,NA,0,0,1,0,0,0,0
whitesymp,0.6,0.8,0.6,0.6,0.5,0.4,0.75,white,1,0,0,0.9,0,0.117647059,50,40,10,0.375,0.5,0.033333333,1,0,0,0,0,0,0
blacksymp,0.6,0.4,0.7,0.6,0.6,0.4,0.75,white,1,0,0,0.6,0.2,0.235294118,60,20,20,0.5,0.4375,NA,0,1,0,0,0,0,0
blackunsymp,0.4,0.4,0.7,0.2,0.7,0.2,0.75,black,0,1,0,0.4,0.5,0.117647059,50,40,10,0.5,0.6875,0.066666667,0,0,0,0,1,0,0
blacksymp,0.6,0.5,0.5,0.5,0.7,0.5,0.5,black,0,1,0,0.5,0.12,0.447058824,50,12,38,0.5,0.4375,0.1,0,1,0,0,0,0,0
noracesymp,0.2,0.9,0.7,0.8,0.4,0.1,0.5,white,1,0,0,0.35,0.35,0.352941176,50,25,25,0.375,0.5,0.033333333,0,0,1,0,0,0,0
control,0,0.8,0.8,0.8,0.3,0,NA,NA,0,0,0,0.75,0.15,0.117647059,75,15,10,0.375,0.5,0.133333333,0,0,0,0,0,0,1
noraceunsymp,1,1,1,1,1,1,0,white,1,0,0,1,0,0,100,0,0,1,0.5,NA,0,0,0,0,0,1,0
whitesymp,0.8,0.6,0.5,0.4,0.7,0.9,1,white,1,0,0,0.75,0.07,0.211764706,70,20,10,0.875,0.875,0.1,1,0,0,0,0,0,0
whiteunsymp,0.2,0.9,0.8,0.6,0.4,0.2,0.75,white,1,0,0,0.8,0.15,0.058823529,80,15,5,0.125,0.375,-0.3,0,0,0,1,0,0,0
blackunsymp,0.8,0.2,0.3,0.3,0.9,0.9,0.25,black,0,1,0,0.7,0.12,0.211764706,65,12,23,0.25,1,0.1,0,0,0,0,1,0,0
whitesymp,0.6,0.8,0.5,0.9,0.8,0.4,1,not mentioned,0,0,1,0.55,0.3,0.176470588,40,40,20,0.375,0.125,0.3,1,0,0,0,0,0,0
blacksymp,0.5,0.4,0.5,0.5,0.4,0.5,0.5,black,0,1,0,0.64,0.12,0.282352941,64,12,24,0.5,0.5,0.1,0,1,0,0,0,0,0
whiteunsymp,0.7,0.8,0.8,0.5,0.8,0.8,0.75,white,1,0,0,0.75,0.1,0.176470588,45,30,25,0.75,0.625,-0.066666667,0,0,0,1,0,0,0
control,0.7,0.7,0.7,0.6,0.6,0.7,NA,NA,0,0,0,0.6,0.2,0.235294118,65,15,20,0.75,0.5,-0.066666667,0,0,0,0,0,0,1
blackunsymp,0.9,0.9,0.9,0.8,0.9,0.9,0.5,black,0,1,0,0.3,0.4,0.352941176,30,40,30,0.5,0.75,0.1,0,0,0,0,1,0,0
control,0.9,0,0,0.1,1,1,NA,NA,0,0,0,0.7,0.1,0.235294118,50,10,40,0.875,1,0.133333333,0,0,0,0,0,0,1
noracesymp,0.4,1,1,1,0.4,0.4,0.75,not mentioned,0,0,1,0.8,0.15,0.058823529,55,30,15,0.125,0,0.033333333,0,0,1,0,0,0,0
whiteunsymp,0.7,0.3,0.4,0.4,0.8,0.8,0.75,white,1,0,0,0.4,0.2,0.470588235,40,20,40,1,0.5,0.3,0,0,0,1,0,0,0
noraceunsymp,0,1,0,1,0,0,0.75,not sure,0,0,1,0.3,0.5,0.235294118,64,12,24,0.5,0.375,0.133333333,0,0,0,0,0,1,0
blackunsymp,0.4,0,0,0,0.5,0.9,0.25,black,0,1,0,0.4,0.6,0,50,40,10,0.625,0.75,0.1,0,0,0,0,1,0,0
noraceunsymp,0.3,1,0.8,0.6,0.6,0.3,0.25,white,1,0,0,0.6,0.2,0.235294118,40,30,30,0.375,0.125,0,0,0,0,0,0,1,0
blackunsymp,0.7,0.9,0.3,0.2,0.3,0.8,0.75,not mentioned,0,0,1,0.5,0.5,0,64,12,24,0.5,0.5,0.1,0,0,0,0,1,0,0
noraceunsymp,0.4,0.5,0.5,0.4,0.4,0.5,0.75,not mentioned,0,0,1,0.5,0.3,0.235294118,64,24,12,0.25,0.6875,0.333333333,0,0,0,0,0,1,0
control,0.1,0.1,0.1,0,0.9,0.9,NA,NA,0,0,0,1,0,0,64,12,24,0.625,0.5,0,0,0,0,0,0,0,1
noracesymp,0,1,0.4,1,0.4,0,0.5,not mentioned,0,0,1,0.4,0.35,0.294117647,40,35,25,0.125,0.125,0.133333333,0,0,1,0,0,0,0
blacksymp,0.4,0.7,0.4,0.8,0.7,0.1,1,black,0,1,0,0.35,0.45,0.235294118,64,12,24,0.25,0.3125,0.033333333,0,1,0,0,0,0,0
whitesymp,0,1,0,1,0.4,0,1,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.5,0.375,0,1,0,0,0,0,0,0
control,0.7,0.7,0.5,0.4,0.8,0.4,NA,NA,0,0,0,0.6,0.2,0.235294118,40,30,30,0.375,0.5,0,0,0,0,0,0,0,1
whiteunsymp,0.5,0.5,0.5,0.5,0.5,0.5,0.5,white,1,0,0,0.24,0.64,0.141176471,12,64,24,0.5,0.5,0.3,0,0,0,1,0,0,0
whitesymp,0.4,0.7,0.8,0.8,0.7,0.2,1,white,1,0,0,0.7,0.2,0.117647059,50,40,10,0.75,0.25,0.033333333,1,0,0,0,0,0,0
noracesymp,0.5,0.6,0.4,0.6,0.4,0.3,0.75,white,1,0,0,0.7,0.1,0.235294118,50,40,10,0.375,0.375,-0.1,0,0,1,0,0,0,0
noraceunsymp,0,0,0,0,0,0,0,white,1,0,0,0.2,0.2,0.705882353,20,20,60,0.625,1,NA,0,0,0,0,0,1,0
blacksymp,0.7,0.6,0.7,0.6,0.7,0.6,0.75,black,0,1,0,0.25,0.6,0.176470588,24,60,16,0.5,0.5625,0.233333333,0,1,0,0,0,0,0
blackunsymp,0.6,0.5,0.6,0.6,0.5,0.5,0.5,black,0,1,0,0.3,0.45,0.294117647,30,45,25,0.25,0.6875,0.266666667,0,0,0,0,1,0,0
control,0.4,0,0.1,0.1,0.7,0.7,NA,NA,0,0,0,0.75,0.2,0.058823529,25,50,25,0.5,1,0.3,0,0,0,0,0,0,1
whitesymp,1,0.7,0.6,0.7,0.7,0.8,0,white,1,0,0,1,0,0,100,0,0,0.625,0.5625,-0.333333333,1,0,0,0,0,0,0
whiteunsymp,1,0,0.1,0.2,1,1,0,white,1,0,0,0.5,0.5,0,64,12,24,1,1,0.1,0,0,0,1,0,0,0
blacksymp,1,0,0,0,0.5,1,0.75,black,0,1,0,0.4,0.3,0.352941176,30,30,40,1,0.75,0.6,0,1,0,0,0,0,0
blacksymp,0.2,1,0.5,1,0.4,0.4,1,black,0,1,0,0.2,0.6,0.235294118,15,70,15,0.75,0.625,0.433333333,0,1,0,0,0,0,0
noracesymp,0.8,0.7,0.6,0.9,0.9,0.7,0.25,not sure,0,0,1,0.5,0.5,0,50,50,0,1,0.625,0,0,0,1,0,0,0,0
noraceunsymp,0.2,0.7,0.7,0.7,0.2,0.3,0.25,not sure,0,0,1,0.6,0.2,0.235294118,60,20,20,0.5,0.1875,0.066666667,0,0,0,0,0,1,0
whitesymp,0.4,0.4,0.2,0.4,0.2,0.2,0.25,white,1,0,0,0.5,0.25,0.294117647,50,25,25,0.125,0.5,0,1,0,0,0,0,0,0
control,0.4,0.7,0.5,0.7,0.5,0.5,NA,NA,0,0,0,0.95,0.02,0.035294118,95,3,2,0.25,0.5,0.133333333,0,0,0,0,0,0,1
control,0.8,0.9,0.9,0.9,0.4,0.7,NA,NA,0,0,0,0.4,0.4,0.235294118,40,40,20,0.5,0.5,0.1,0,0,0,0,0,0,1
whiteunsymp,0.7,0.6,0.7,0.6,0.4,0.1,0.5,white,1,0,0,0.45,0.3,0.294117647,50,20,30,0,0.3125,-0.133333333,0,0,0,1,0,0,0
noracesymp,0.2,0.9,0.8,0.9,0.6,0,0.75,black,0,1,0,0.5,0.25,0.294117647,70,20,10,0.125,0.375,0,0,0,1,0,0,0,0
noraceunsymp,0.5,0.5,0.5,0.5,0.5,0.5,0.5,not sure,0,0,1,0.3,0.4,0.352941176,40,30,30,0.75,0.5,0.066666667,0,0,0,0,0,1,0
blackunsymp,0.6,0.1,0,0.7,1,0.8,0.25,black,0,1,0,0.35,0.3,0.411764706,35,35,30,0.875,1,0.466666667,0,0,0,0,1,0,0
blacksymp,0,0.2,0,0.2,0,0,1,black,0,1,0,0.3,0.6,0.117647059,30,60,10,0.25,0.625,0.066666667,0,1,0,0,0,0,0
whitesymp,0.2,0.3,0.5,0.5,0.5,0.4,0.5,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.5,0.5,-0.2,1,0,0,0,0,0,0
noracesymp,0.6,0.4,0.4,0.6,0.7,0.6,0.75,not mentioned,0,0,1,0.65,0.25,0.117647059,45,45,10,0.625,0.875,0.1,0,0,1,0,0,0,0
noraceunsymp,0.6,0.8,0.6,0.8,0.9,0.7,0.75,not mentioned,0,0,1,0.5,0.5,0,40,40,20,0.5,0.625,-0.5,0,0,0,0,0,1,0
control,0.8,0.9,0.9,0.8,0.9,1,NA,NA,0,0,0,0.4,0.3,0.352941176,12,24,64,0.875,0.4375,-0.633333333,0,0,0,0,0,0,1
blacksymp,0.3,1,0.8,0.9,0.7,0.3,0.5,black,0,1,0,0.4,0.45,0.176470588,40,50,10,1,1,0.666666667,0,1,0,0,0,0,0
blacksymp,0.7,0.2,0.1,0.1,0.9,0.2,0.5,black,0,1,0,0.64,0.12,0.282352941,64,12,24,0.5,0.5,0.1,0,1,0,0,0,0,0
whiteunsymp,0.4,0.5,0.5,0.1,0.5,0.3,0.5,white,1,0,0,0.32,0.25,0.505882353,44,4,52,0.625,0.3125,0.1,0,0,0,1,0,0,0
whitesymp,0.3,0.8,0.3,0.8,0.5,0.3,0.75,white,1,0,0,0.34,0.33,0.388235294,34,33,33,0.25,0.375,0.1,1,0,0,0,0,0,0
noraceunsymp,0.8,0.8,0.9,0.9,0.9,0.8,0.75,white,1,0,0,0.5,0.4,0.117647059,40,40,20,0.625,0.625,0.8,0,0,0,0,0,1,0
blackunsymp,0.6,0.6,0.6,0.6,0.4,0.6,0.75,black,0,1,0,0.4,0.3,0.352941176,40,30,30,0.75,0.5625,0.1,0,0,0,0,1,0,0
whiteunsymp,0.7,0.8,0.7,0.8,0.3,0.3,0.75,white,1,0,0,0.7,0.2,0.117647059,60,40,0,0.5,0.5,0.133333333,0,0,0,1,0,0,0
blacksymp,0.4,0.9,0.9,1,0.5,0.4,1,black,0,1,0,0.3,0.45,0.294117647,30,45,25,0.25,0.5,0.066666667,0,1,0,0,0,0,0
blackunsymp,1,1,0.8,0.5,1,0.9,0.75,black,0,1,0,0.64,0.12,0.282352941,64,12,24,1,0.5,0,0,0,0,0,1,0,0
noracesymp,1,1,0.3,1,0.2,0.7,1,white,1,0,0,0.64,0.12,0.282352941,64,12,24,1,0.75,NA,0,0,1,0,0,0,0
noraceunsymp,0.6,0.7,0.7,0.7,0.6,0.7,0,not mentioned,0,0,1,0.64,0.12,0.282352941,64,12,24,0.625,0.5,0,0,0,0,0,0,1,0
control,0,0.2,0.1,0.1,0.9,0.9,NA,NA,0,0,0,0.3,0.5,0.235294118,30,50,20,0.375,0.375,0,0,0,0,0,0,0,1
noraceunsymp,0.3,0.4,0.7,0.7,0.3,0.3,0.25,not mentioned,0,0,1,1,0,0,50,25,25,0,0.25,-0.233333333,0,0,0,0,0,1,0
whitesymp,1,1,1,1,0.8,0,0.5,white,1,0,0,0.5,0.5,0,50,50,0,1,0.125,0,1,0,0,0,0,0,0
control,0.5,0.6,0.8,0.3,0.7,0.6,NA,NA,0,0,0,0.6,0.3,0.117647059,60,30,10,0.125,0,-0.066666667,0,0,0,0,0,0,1
