treatment,anger,fear,sympathy,pity,disgust,compassion,articlesymp,articlerace,mikewhite,mikeblack,mikenorace,perwhiteopioid,perblackopioid,perotheropioid,perwhitedrug,perblackdrug,perotherdrug,whiteid,rr,workstereotypediff,whitesymp,blacksymp,noracesymp,whiteunsymp,blackunsymp,noraceunsymp,control
control,0,0.6,0.6,0.6,0,0,NA,NA,0,0,0,0.5,0.4,0.117647059,40,50,10,0.5,1,0.133333333,0,0,0,0,0,0,1
blacksymp,0.6,0.8,0.8,0.5,0.4,0.3,0.75,black,0,1,0,0.3,0.5,0.235294118,60,30,10,0.25,0.1875,-0.1,0,1,0,0,0,0,0
blacksymp,0.7,0.6,0.5,0.5,0.7,0.4,0.75,black,0,1,0,0.64,0.12,0.282352941,64,12,24,1,1,NA,0,1,0,0,0,0,0
whitesymp,0.1,0.9,0.9,0.9,0.5,0.1,1,white,1,0,0,0.84,0.05,0.129411765,66,8,26,0.375,0,0.066666667,1,0,0,0,0,0,0
whitesymp,0.8,0.8,0.5,0.8,0.6,0.8,1,white,1,0,0,0.75,0.15,0.117647059,75,15,10,0.5,0.75,0.1,1,0,0,0,0,0,0
noracesymp,0.5,0.5,0.6,0.6,0.4,0.7,1,not sure,0,0,1,0.7,0.2,0.117647059,60,30,10,0.625,0.8125,0.466666667,0,0,1,0,0,0,0
whiteunsymp,0.3,0.3,0.5,0.3,1,0.5,0.75,white,1,0,0,0.8,0.1,0.117647059,50,30,20,0.125,0.5,0.1,0,0,0,1,0,0,0
blacksymp,0.6,1,1,1,0.7,0.3,0.75,black,0,1,0,0.4,0.5,0.117647059,30,60,10,0.125,0.875,0,0,1,0,0,0,0,0
blackunsymp,1,0,0,0,0.6,1,0,black,0,1,0,0.64,0.12,0.282352941,64,12,24,0.875,0.8125,0.433333333,0,0,0,0,1,0,0
noracesymp,0.6,0.7,0.3,0.8,0.4,0.4,0.25,not mentioned,0,0,1,0.35,0.6,0.058823529,40,50,10,0.75,0.5,0.266666667,0,0,1,0,0,0,0
noraceunsymp,0.9,0.3,0.3,0.3,0.8,0.8,0,not mentioned,0,0,1,0.5,0.3,0.235294118,50,30,20,0.625,0.75,0.066666667,0,0,0,0,0,1,0
blackunsymp,0,0.4,0.1,0.6,0,0,0.5,black,0,1,0,0.3,0.45,0.294117647,30,45,25,0.75,0.1875,0.033333333,0,0,0,0,1,0,0
noraceunsymp,0.5,0.5,0.5,0.5,0.3,0.5,0.75,white,1,0,0,0.64,0.12,0.282352941,64,12,24,1,1,0.066666667,0,0,0,0,0,1,0
whitesymp,0.3,0.6,0.5,0.8,0.3,0,0.75,white,1,0,0,0.75,0.15,0.117647059,45,45,10,0.25,0.25,0.066666667,1,0,0,0,0,0,0
whiteunsymp,0.4,0.4,0.4,0.6,0.5,0.4,1,white,1,0,0,0.5,0.25,0.294117647,50,25,25,0.75,0.5625,0.1,0,0,0,1,0,0,0
noracesymp,0.6,0.7,0.6,0.7,0.2,0.2,0.5,not mentioned,0,0,1,0.4,0.4,0.235294118,35,60,5,0.5,1,0.433333333,0,0,1,0,0,0,0
blackunsymp,0.4,0.9,0.3,0.8,0.3,0.2,0.75,black,0,1,0,0.3,0.5,0.235294118,30,50,20,0.5,0.5,0.266666667,0,0,0,0,1,0,0
whiteunsymp,0,0.9,0.8,0.8,0.5,0,0.25,white,1,0,0,0.85,0.05,0.117647059,64,12,24,0.5,0.25,0.033333333,0,0,0,1,0,0,0
noracesymp,1,1,0.9,1,0.8,0.9,0.75,black,0,1,0,0.64,0.12,0.282352941,64,12,24,1,0.8125,0.6,0,0,1,0,0,0,0
whitesymp,0.5,0.5,0.6,0.4,0.8,1,0.75,white,1,0,0,0.5,0.3,0.235294118,35,45,20,0.5,0.5,0.033333333,1,0,0,0,0,0,0
noraceunsymp,0.4,0.4,0.4,0.5,0.4,0.4,0.5,white,1,0,0,1,0,0,100,0,0,0.5,0.5,0.066666667,0,0,0,0,0,1,0
whitesymp,0.6,0.7,0.7,0.7,0.8,0.6,0.75,white,1,0,0,0.55,0.3,0.176470588,55,30,15,0.875,0.1875,0.1,1,0,0,0,0,0,0
whiteunsymp,0.6,0.4,0.4,0.4,0.7,0.4,0.25,white,1,0,0,0.5,0.25,0.294117647,50,25,25,0.125,0.375,-0.133333333,0,0,0,1,0,0,0
blackunsymp,0.9,0.6,0.3,0.6,1,1,0.75,black,0,1,0,0.25,0.5,0.294117647,35,40,25,0.5,0.875,0.1,0,0,0,0,1,0,0
blacksymp,0.8,0.9,0.4,0.9,0.7,0.1,0.75,black,0,1,0,0.5,0.5,0,34,33,33,0.5,0.6875,0.033333333,0,1,0,0,0,0,0
control,0.4,0.8,0.8,0.8,0.6,0.4,NA,NA,0,0,0,0.5,0.25,0.294117647,50,25,25,0.5,0.1875,0.066666667,0,0,0,0,0,0,1
control,0.6,0,0,0.6,0.2,0.4,NA,NA,0,0,0,0.4,0.4,0.235294118,45,45,10,0.5,0.5,0.033333333,0,0,0,0,0,0,1
whiteunsymp,0.5,0.6,0.6,0.6,0.4,0.5,0.25,white,1,0,0,0.8,0.1,0.117647059,40,40,20,0.375,0.5,0.233333333,0,0,0,1,0,0,0
blacksymp,0.3,0.8,0.6,0.8,0.4,0.7,0.75,black,0,1,0,0.25,0.5,0.294117647,25,50,25,0.375,0.375,0.066666667,0,1,0,0,0,0,0
noraceunsymp,1,1,0,0.2,1,0.1,1,white,1,0,0,0.64,0.24,0.141176471,64,24,12,0,0.5,0,0,0,0,0,0,1,0
noracesymp,0,0.8,0.7,0.7,0.1,0,0.75,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.5,0.5,-0.166666667,0,0,1,0,0,0,0
blackunsymp,0.7,0.2,0.1,0.4,0.6,0.6,0.75,black,0,1,0,0.18,0.08,0.870588235,18,8,74,0.75,0.8125,0.3,0,0,0,0,1,0,0
noraceunsymp,0.7,0.4,0.7,0.8,0.8,0.3,0.25,white,1,0,0,0.33,0.33,0.4,33,34,33,0.625,0.625,-0.666666667,0,0,0,0,0,1,0
whitesymp,0.4,0.6,0.6,0.6,0.5,0.2,0.5,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.375,0.8125,0.466666667,1,0,0,0,0,0,0
blackunsymp,0.7,0.4,0.3,0.7,0.8,0.4,0.75,white,1,0,0,0.3,0.4,0.352941176,40,40,20,0.875,0.5,-0.033333333,0,0,0,0,1,0,0
control,0.2,0.3,0.2,0.9,0.2,0.2,NA,NA,0,0,0,0.5,0.5,0,40,60,0,1,0.4375,0.266666667,0,0,0,0,0,0,1
noracesymp,0.6,0.6,0.6,0.6,0.6,0.6,0.75,not sure,0,0,1,0.99,0.01,0,1,99,0,1,0.5625,0.166666667,0,0,1,0,0,0,0
noracesymp,0.3,0.9,0.8,0.8,0.3,0.2,0.75,white,1,0,0,0.4,0.5,0.117647059,64,12,24,0.75,0.25,0.033333333,0,0,1,0,0,0,0
control,0.8,0.3,0.2,0.2,0.3,1,NA,NA,0,0,0,0.5,0.3,0.235294118,35,35,30,0.5,1,0.1,0,0,0,0,0,0,1
whiteunsymp,0.3,0.6,0.6,0.6,0.4,0.6,0.75,white,1,0,0,0.5,0.4,0.117647059,50,40,10,0.25,0.3125,0.033333333,0,0,0,1,0,0,0
blacksymp,0,0.9,0.8,1,0.1,0.1,1,black,0,1,0,0.4,0.4,0.235294118,40,40,20,0.375,0.6875,0.1,0,1,0,0,0,0,0
blacksymp,0.7,0.8,0.9,0.8,0.4,0.2,0.75,black,0,1,0,0.2,0.6,0.235294118,20,60,20,0.5,0.9375,0.633333333,0,1,0,0,0,0,0
blackunsymp,0.5,0.6,0.9,0.7,0.6,0.5,0.75,black,0,1,0,0.3,0.5,0.235294118,20,60,20,0.5,0.5625,-0.033333333,0,0,0,0,1,0,0
whitesymp,1,1,0.2,1,1,1,0.75,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.75,0.5,0.033333333,1,0,0,0,0,0,0
blackunsymp,0.2,0.7,0.7,0.9,0.3,0.1,0,black,0,1,0,0.3,0.5,0.235294118,55,25,20,0.5,0,0.166666667,0,0,0,0,1,0,0
noracesymp,0.8,0.3,0.3,0.3,0.4,0.6,0.75,white,1,0,0,0.4,0.4,0.235294118,30,40,30,0.25,0.75,0.3,0,0,1,0,0,0,0
whitesymp,0,1,1,1,0,0,0,black,0,1,0,0,1,0,0,100,0,0,0.875,-0.4,1,0,0,0,0,0,0
blacksymp,0.6,0.8,0.7,0.8,0.7,0.6,0.75,black,0,1,0,0.35,0.45,0.235294118,40,25,35,0.375,0.625,0.066666667,0,1,0,0,0,0,0
blacksymp,0.3,0.7,0.1,0.7,0.6,0.3,0.75,black,0,1,0,0.07,0.08,1,7,8,85,0,0.625,0.266666667,0,1,0,0,0,0,0
blackunsymp,0.7,0.7,0.7,0.6,0.2,0.8,0.75,black,0,1,0,0.2,0.5,0.352941176,30,50,20,0.75,0.9375,0.1,0,0,0,0,1,0,0
noracesymp,0.4,0.8,0.9,0.6,0.7,0.2,0.75,not mentioned,0,0,1,0.64,0.12,0.282352941,64,12,24,0.375,0.3125,0.066666667,0,0,1,0,0,0,0
noraceunsymp,1,0.2,0.9,0.3,0.8,1,0.25,white,1,0,0,0.25,0.5,0.294117647,64,12,24,0.5,0.25,0.666666667,0,0,0,0,0,1,0
noracesymp,0.2,0.7,0.4,0.7,0.7,0.3,0.75,not sure,0,0,1,0.6,0.2,0.235294118,60,20,20,0.375,0.75,0.466666667,0,0,1,0,0,0,0
noraceunsymp,0.3,0.6,0.6,0.7,0.8,0.6,0.75,white,1,0,0,0.5,0.5,0,50,50,0,0,0.5,0,0,0,0,0,0,1,0
whitesymp,0.2,0.5,0.6,0.5,0,0.9,0.75,white,1,0,0,0.8,0.1,0.117647059,80,10,10,0.25,1,0.5,1,0,0,0,0,0,0
blacksymp,0.3,0.6,0.1,0.3,0.8,0.6,0.75,black,0,1,0,0.4,0.6,0,50,50,0,0.625,0.625,1,0,1,0,0,0,0,0
blackunsymp,0.3,0.3,0.3,0.3,0.3,0.3,0,black,0,1,0,0.5,0.5,0,50,50,0,0.25,0.625,0,0,0,0,0,1,0,0
whiteunsymp,0.2,1,0.7,1,0.5,0.2,0.75,white,1,0,0,0.65,0.2,0.176470588,65,20,15,0.375,0.3125,0.066666667,0,0,0,1,0,0,0
control,0.3,0.4,0.5,0.4,0.6,0.4,NA,NA,0,0,0,1,0,0,30,40,30,0.375,0.1875,0.1,0,0,0,0,0,0,1
blacksymp,0,1,0.5,1,0.6,0,1,black,0,1,0,0.5,0.5,0,64,12,24,0,0.3125,0,0,1,0,0,0,0,0
noracesymp,0.4,0.7,0.3,0.7,0.4,0.7,0.75,black,0,1,0,0.26,0.25,0.576470588,26,35,39,0.5,0.5,0.166666667,0,0,1,0,0,0,0
whiteunsymp,0.4,0.7,0.7,0.6,0.6,0.5,0,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.375,0.25,0.066666667,0,0,0,1,0,0,0
noraceunsymp,0.2,0.7,0.3,0.7,0.8,0.3,0.75,not mentioned,0,0,1,0.4,0.35,0.294117647,64,12,24,0.5,0.5625,0.1,0,0,0,0,0,1,0
blackunsymp,0.4,0.8,0.7,0.7,0.7,0.5,1,black,0,1,0,0.8,0.08,0.141176471,40,30,30,0.125,0,-0.333333333,0,0,0,0,1,0,0
control,0,0,0,0.6,0,0,NA,NA,0,0,0,0.7,0.15,0.176470588,70,15,15,1,0.75,0,0,0,0,0,0,0,1
control,0.7,0.4,0.7,0.2,0.4,0.8,NA,NA,0,0,0,0.3,0.3,0.470588235,70,15,15,0.625,0.875,0.066666667,0,0,0,0,0,0,1
whitesymp,0.8,0.9,0.9,0.7,0.8,0.2,1,white,1,0,0,0.5,0.5,0,50,50,0,1,0.375,-0.333333333,1,0,0,0,0,0,0
whitesymp,0.5,0.5,0.7,0.7,0.5,0.5,0.5,white,1,0,0,0.9,0.05,0.058823529,64,12,24,0.25,0.25,0,1,0,0,0,0,0,0
noracesymp,0.1,0.7,0.6,0.6,0,0,1,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.25,0.5,0,0,0,1,0,0,0,0
whiteunsymp,0.5,0.6,0.6,0.6,0.5,0.4,0.25,white,1,0,0,0.5,0.25,0.294117647,33,33,34,0.5,0.6875,-0.266666667,0,0,0,1,0,0,0
blacksymp,0.5,0.8,0.3,0.2,0.2,0.9,0.5,black,0,1,0,0.3,0.3,0.470588235,33,40,27,0.125,1,0.1,0,1,0,0,0,0,0
control,0.3,0.9,0.9,0.9,0.3,0.3,NA,NA,0,0,0,0.75,0.25,0,75,25,0,0.125,0.0625,-0.466666667,0,0,0,0,0,0,1
blacksymp,0.7,0.2,0.7,0.5,0,0.3,0.75,black,0,1,0,0.2,0.7,0.117647059,20,70,10,0.625,0.6875,0.266666667,0,1,0,0,0,0,0
whitesymp,0.6,0.6,0.6,0.6,0.9,0.3,0.75,white,1,0,0,0.8,0.15,0.058823529,60,20,20,0.5,0.5,0.133333333,1,0,0,0,0,0,0
noraceunsymp,0.2,0.9,0.8,0.9,0.7,0.6,0.75,white,1,0,0,0.6,0.35,0.058823529,60,30,10,0.5,0.75,0.466666667,0,0,0,0,0,1,0
noracesymp,0.1,0.9,0.6,1,0.8,0.4,0.75,not mentioned,0,0,1,0.55,0.15,0.352941176,60,10,30,0.25,0.375,0.066666667,0,0,1,0,0,0,0
whitesymp,0.3,0.6,0.4,0.4,0.3,0.6,0.75,white,1,0,0,0.7,0.08,0.258823529,64,12,24,0.5,0.875,0.1,1,0,0,0,0,0,0
blackunsymp,0.5,0.5,0.5,0.5,0.7,0.7,0.5,black,0,1,0,0.25,0.5,0.294117647,25,50,25,0.125,0.5,0.1,0,0,0,0,1,0,0
blacksymp,0.1,0.1,0.2,0.2,0.1,0,0.5,black,0,1,0,0.3,0.5,0.235294118,30,50,20,0.5,1,NA,0,1,0,0,0,0,0
noraceunsymp,0.6,0.6,0.6,0.5,0.5,0.8,0.5,not mentioned,0,0,1,0.5,0.25,0.294117647,50,25,25,0.125,0.75,0.1,0,0,0,0,0,1,0
whiteunsymp,0.6,0.3,0.5,0.6,0.9,0.7,0.25,white,1,0,0,0.8,0.1,0.117647059,40,20,40,0.75,0.5,0.066666667,0,0,0,1,0,0,0
blackunsymp,0.2,0.3,0.8,0.3,0.1,0.8,0.25,black,0,1,0,0.3,0.7,0,75,15,10,0.75,0.6875,0.166666667,0,0,0,0,1,0,0
noracesymp,0.3,0.7,1,0.7,0.8,0.7,1,white,1,0,0,0.7,0.15,0.176470588,60,30,10,0.5,0.75,0.1,0,0,1,0,0,0,0
control,0.9,0.2,0.2,0.2,0.7,1,NA,NA,0,0,0,0.39,0.5,0.129411765,39,50,11,0,0.625,0.3,0,0,0,0,0,0,1
whitesymp,0.6,0.7,0.8,0.8,0.7,0.4,0.75,white,1,0,0,0.6,0.2,0.235294118,30,40,30,0.625,0.3125,0.066666667,1,0,0,0,0,0,0
noraceunsymp,0.8,0,0,0.1,0.8,0.9,0,white,1,0,0,0.5,0.5,0,33,34,33,0.375,1,0.1,0,0,0,0,0,1,0
blacksymp,0.2,0.9,0.9,0.9,0.8,0.6,1,black,0,1,0,0.25,0.4,0.411764706,40,30,30,0.125,0.125,0,0,1,0,0,0,0,0
whiteunsymp,0.9,0.8,0.6,0.7,0.5,0.6,0.75,white,1,0,0,0.8,0.2,0,100,0,0,0.5,0.5625,0,0,0,0,1,0,0,0
blackunsymp,0.7,0.5,0.2,0.3,0.3,0.7,0.75,black,0,1,0,0.5,0.2,0.352941176,50,20,30,0.5,0.4375,0.466666667,0,0,0,0,1,0,0
whitesymp,0.1,0.8,0.6,0.7,0,0.1,1,white,1,0,0,0.55,0.35,0.117647059,40,40,20,0.25,0.125,0,1,0,0,0,0,0,0
noracesymp,0.6,0.4,0.4,0.7,0.6,0.6,0.25,white,1,0,0,0.75,0.2,0.058823529,75,20,5,0.5,0.375,0.3,0,0,1,0,0,0,0
noraceunsymp,0.8,0.8,0.8,0.8,0.7,0.3,0.75,white,1,0,0,0.6,0.2,0.235294118,70,20,10,0,0.4375,-0.066666667,0,0,0,0,0,1,0
control,0.3,0.8,0.1,0.8,0,0.1,NA,NA,0,0,0,0.75,0.1,0.176470588,75,10,15,0.125,0.3125,-0.133333333,0,0,0,0,0,0,1
blacksymp,1,0.9,0.6,0.4,0.6,0.7,1,white,1,0,0,0.35,0.5,0.176470588,35,50,15,1,0.5,0.233333333,0,1,0,0,0,0,0
noracesymp,0.4,0.4,0.4,0.4,0.3,0.4,0.75,white,1,0,0,0.6,0.3,0.117647059,60,20,20,0.75,0.375,0.1,0,0,1,0,0,0,0
whiteunsymp,0.1,0.8,0.7,0.9,0.6,0.2,0,white,1,0,0,0.7,0.1,0.235294118,60,15,25,0.5,0.0625,0.033333333,0,0,0,1,0,0,0
noraceunsymp,0,0.7,0.7,0.7,0.1,0,0.5,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.25,0.6875,0.1,0,0,0,0,0,1,0
blackunsymp,0.6,0.4,0.7,0.3,0.7,0.7,0.5,black,0,1,0,0.2,0.6,0.235294118,50,35,15,0.375,0.5625,0.066666667,0,0,0,0,1,0,0
control,0.2,0.3,0,0.3,0.7,0.5,NA,NA,0,0,0,0.7,0.2,0.117647059,40,50,10,0.375,0.1875,0.1,0,0,0,0,0,0,1
whitesymp,0.3,0.4,0.8,0.2,0.6,0.4,0.75,white,1,0,0,0.65,0.3,0.058823529,30,60,10,0.5,0.625,0.466666667,1,0,0,0,0,0,0
blacksymp,0.2,0.3,0.3,0.2,0.5,0.3,1,black,0,1,0,0.51,0.25,0.282352941,51,25,24,0,1,0.133333333,0,1,0,0,0,0,0
noracesymp,0.1,0.7,1,0.7,0.7,0.4,0.75,white,1,0,0,0.5,0.25,0.294117647,64,12,24,0.25,0.125,0.1,0,0,1,0,0,0,0
whitesymp,0.1,1,0.9,0.9,0.3,0.7,0.75,white,1,0,0,0.6,0.2,0.235294118,30,30,40,0.25,0.8125,0.033333333,1,0,0,0,0,0,0
control,0.3,0.5,0.8,0.5,0.3,0.4,NA,NA,0,0,0,0.3,0.3,0.470588235,50,30,20,0.25,0.375,0.066666667,0,0,0,0,0,0,1
whiteunsymp,0.3,0.8,0.2,0.7,0.7,0.4,0.25,white,1,0,0,0.6,0.4,0,60,30,10,0.75,0.5,0.2,0,0,0,1,0,0,0
blackunsymp,0.3,0.8,0.2,0.8,0.5,0.2,0,black,0,1,0,0.7,0.3,0,60,40,0,0,0,-0.3,0,0,0,0,1,0,0
blacksymp,0.3,0.7,0.6,0.6,0.8,0.4,0.5,black,0,1,0,0.2,0.6,0.235294118,35,60,5,0.625,0.5,0.233333333,0,1,0,0,0,0,0
noraceunsymp,0.5,0.5,0.5,0.4,0.3,0.5,0.5,not mentioned,0,0,1,0.38,0.2,0.494117647,38,20,42,0.625,0.375,0.266666667,0,0,0,0,0,1,0
control,0.7,0.9,0.8,0.8,0.9,0.2,NA,NA,0,0,0,0.55,0.25,0.235294118,50,30,20,0.125,0.0625,0,0,0,0,0,0,0,1
whiteunsymp,0.7,1,1,1,0.9,0.4,0,white,1,0,0,0.64,0.12,0.282352941,64,12,24,0.5,0.75,0.1,0,0,0,1,0,0,0
blacksymp,0.7,0.5,0.7,0.7,0.7,0.8,0.25,black,0,1,0,0.25,0.25,0.588235294,25,25,50,0.625,0.625,0,0,1,0,0,0,0,0
whitesymp,0.2,0.8,0.8,0.6,0.6,0.4,1,white,1,0,0,0.7,0.1,0.235294118,60,30,10,0.25,0.375,0.1,1,0,0,0,0,0,0
noracesymp,0.9,0.2,0.2,0.2,0.6,1,0.25,white,1,0,0,0.5,0.3,0.235294118,50,25,25,0.375,0.875,0.266666667,0,0,1,0,0,0,0